team,status,confederation,member_from,member_to,reason
Burkina Faso,fifa,CAF,,,FIFA member via confederation_adj map
Burundi,fifa,CAF,,,FIFA member via confederation_adj map
Cambodia,fifa,AFC,,,FIFA member via confederation_adj map
Cameroon,fifa,CAF,,,FIFA member via confederation_adj map
Canada,fifa,CONCACAF,,,FIFA member via confederation_adj map
Canary Islands,unclassified,,,,not yet reviewed — dormant unless listed as active
Canton Ticino,non_fifa,,,,sub-national side
Cape Verde,fifa,CAF,1986-01-01,,FIFA member via confederation_adj map
Cascadia,unclassified,,,,not yet reviewed — dormant unless listed as active
Catalonia,unclassified,,,,not yet reviewed — dormant unless listed as active
Cayman Islands,fifa,CONCACAF,,,FIFA member; absent from confederation_adj map
Central African Republic,fifa,CAF,,,FIFA member via confederation_adj map
Central Spain,unclassified,,,,not yet reviewed — dormant unless listed as active
Chad,fifa,CAF,,,FIFA member via confederation_adj map
Chagos Islands,unclassified,,,,not yet reviewed — dormant unless listed as active
Chameria,non_fifa,,,,stateless / non-FIFA representative side
Chechnya,unclassified,,,,not yet reviewed — dormant unless listed as active
Chile,fifa,CONMEBOL,,,FIFA member via confederation_adj map
China,fifa,AFC,,,FIFA member via confederation_adj map
Cilento,unclassified,,,,not yet reviewed — dormant unless listed as active
Colombia,fifa,CONMEBOL,,,FIFA member via confederation_adj map
Comoros,fifa,CAF,2005-09-12,,FIFA member via confederation_adj map
Congo,fifa,CAF,,,FIFA member via confederation_adj map
Cook Islands,fifa,OFC,1994-01-01,,FIFA member via confederation_adj map
Corsica,unclassified,,,,not yet reviewed — dormant unless listed as active
Costa Rica,fifa,CONCACAF,,,FIFA member via confederation_adj map
County of Nice,unclassified,,,,not yet reviewed — dormant unless listed as active
Crimea,unclassified,,,,not yet reviewed — dormant unless listed as active
Croatia,fifa,UEFA,1992-07-03,,FIFA member via confederation_adj map
Cuba,fifa,CONCACAF,,,FIFA member via confederation_adj map
Curaçao,fifa,CONCACAF,,,FIFA member via confederation_adj map
Cyprus,fifa,UEFA,,,FIFA member via confederation_adj map
Czech Republic,fifa,UEFA,1994-01-01,,FIFA member via confederation_adj map
Czechoslovakia,fifa,UEFA,,1993-12-31,"former FIFA member, membership ended"
DR Congo,fifa,CAF,,,FIFA member via confederation_adj map
Darfur,unclassified,,,,not yet reviewed — dormant unless listed as active
Denmark,fifa,UEFA,,,FIFA member via confederation_adj map
Djibouti,fifa,CAF,1994-01-01,,FIFA member; absent from confederation_adj map
Dominica,fifa,CONCACAF,,,FIFA member; absent from confederation_adj map
Dominican Republic,fifa,CONCACAF,,,FIFA member via confederation_adj map
Donetsk PR,unclassified,,,,not yet reviewed — dormant unless listed as active
Délvidék,unclassified,,,,not yet reviewed — dormant unless listed as active
East Turkestan,non_fifa,,,,stateless / non-FIFA representative side
Ecuador,fifa,CONMEBOL,,,FIFA member via confederation_adj map
Egypt,fifa,CAF,,,FIFA member via confederation_adj map
El Salvador,fifa,CONCACAF,,,FIFA member via confederation_adj map
Elba Island,unclassified,,,,not yet reviewed — dormant unless listed as active
Ellan Vannin,unclassified,,,,not yet reviewed — dormant unless listed as active
England,fifa,UEFA,,,FIFA member via confederation_adj map
Equatorial Guinea,fifa,CAF,1986-01-01,,FIFA member via confederation_adj map
Eritrea,fifa,CAF,1998-06-01,,FIFA member via confederation_adj map
Estonia,fifa,UEFA,1992-01-01,,FIFA member via confederation_adj map
Eswatini,fifa,CAF,,,FIFA member via confederation_adj map
Ethiopia,fifa,CAF,,,FIFA member via confederation_adj map
Falkland Islands,non_fifa,,,,not a FIFA member
Faroe Islands,fifa,UEFA,,,FIFA member via confederation_adj map
Felvidék,unclassified,,,,not yet reviewed — dormant unless listed as active
Fiji,fifa,OFC,,,FIFA member via confederation_adj map
Finland,fifa,UEFA,,,FIFA member via confederation_adj map
France,fifa,UEFA,,,FIFA member via confederation_adj map
Franconia,unclassified,,,,not yet reviewed — dormant unless listed as active
French Guiana,non_fifa,CONCACAF,,,"CONCACAF associate, not a FIFA member"
Frøya,non_fifa,,,,sub-national side
Gabon,fifa,CAF,,,FIFA member via confederation_adj map
Galicia,non_fifa,,,,sub-national side
Gambia,fifa,CAF,,,FIFA member via confederation_adj map
Georgia,fifa,UEFA,1992-01-01,,FIFA member via confederation_adj map
German DR,unclassified,,,,not yet reviewed — dormant unless listed as active
Germany,fifa,UEFA,,,FIFA member via confederation_adj map
Ghana,fifa,CAF,,,FIFA member via confederation_adj map
Gibraltar,fifa,UEFA,2016-05-13,,FIFA member via confederation_adj map
Gotland,unclassified,,,,not yet reviewed — dormant unless listed as active
Gozo,non_fifa,,,,sub-national side
Greece,fifa,UEFA,,,FIFA member via confederation_adj map
Greenland,non_fifa,,,,not a FIFA member
Grenada,fifa,CONCACAF,,,FIFA member; absent from confederation_adj map
Guadeloupe,non_fifa,CONCACAF,,,"CONCACAF associate, not a FIFA member"
Guam,fifa,AFC,,,FIFA member via confederation_adj map
Guatemala,fifa,CONCACAF,,,FIFA member via confederation_adj map
Guernsey,non_fifa,,,,not a FIFA member
Guinea,fifa,CAF,,,FIFA member via confederation_adj map
Guinea-Bissau,fifa,CAF,,,FIFA member via confederation_adj map
Guyana,fifa,CONCACAF,,,FIFA member; absent from confederation_adj map
Găgăuzia,unclassified,,,,not yet reviewed — dormant unless listed as active
Haiti,fifa,CONCACAF,,,FIFA member via confederation_adj map
Hitra,non_fifa,,,,sub-national side
Hmong,non_fifa,,,,stateless / non-FIFA representative side
Honduras,fifa,CONCACAF,,,FIFA member via confederation_adj map
Hong Kong,fifa,AFC,,,FIFA member via confederation_adj map
Hungary,fifa,UEFA,,,FIFA member via confederation_adj map
Iceland,fifa,UEFA,,,FIFA member via confederation_adj map
India,fifa,AFC,,,FIFA member via confederation_adj map
Indonesia,fifa,AFC,,,FIFA member via confederation_adj map
Iran,fifa,AFC,,,FIFA member via confederation_adj map
Iraq,fifa,AFC,,,FIFA member via confederation_adj map
Iraqi Kurdistan,unclassified,,,,not yet reviewed — dormant unless listed as active
Isle of Man,non_fifa,,,,not a FIFA member
Isle of Wight,non_fifa,,,,sub-national side
Israel,fifa,UEFA,,,FIFA member; absent from confederation_adj map
Italy,fifa,UEFA,,,FIFA member via confederation_adj map
Ivory Coast,fifa,CAF,,,FIFA member via confederation_adj map
Jamaica,fifa,CONCACAF,,,FIFA member via confederation_adj map
Japan,fifa,AFC,,,FIFA member via confederation_adj map
Jersey,non_fifa,,,,not a FIFA member
Jordan,fifa,AFC,,,FIFA member via confederation_adj map
Kabylia,unclassified,,,,not yet reviewed — dormant unless listed as active
Kazakhstan,fifa,UEFA,1994-01-01,,transferred AFC -> UEFA in 2002
Kenya,fifa,CAF,,,FIFA member via confederation_adj map
Kernow,non_fifa,,,,sub-national side
Kiribati,non_fifa,OFC,,,"OFC associate, not a FIFA member"
Kosovo,fifa,UEFA,2016-05-13,,FIFA member via confederation_adj map
Kurdistan,unclassified,,,,not yet reviewed — dormant unless listed as active
Kuwait,fifa,AFC,,,FIFA member via confederation_adj map
Kyrgyzstan,fifa,AFC,1994-01-01,,FIFA member via confederation_adj map
Kárpátalja,unclassified,,,,not yet reviewed — dormant unless listed as active
Laos,fifa,AFC,,,FIFA member; absent from confederation_adj map
Latvia,fifa,UEFA,1992-01-01,,FIFA member via confederation_adj map
Lebanon,fifa,AFC,,,FIFA member via confederation_adj map
Lesotho,fifa,CAF,,,FIFA member via confederation_adj map
Liberia,fifa,CAF,,,FIFA member; absent from confederation_adj map
Libya,fifa,CAF,,,FIFA member via confederation_adj map
Liechtenstein,fifa,UEFA,,,FIFA member via confederation_adj map
Lithuania,fifa,UEFA,1992-01-01,,FIFA member via confederation_adj map
Luhansk PR,unclassified,,,,not yet reviewed — dormant unless listed as active
Luxembourg,fifa,UEFA,,,FIFA member via confederation_adj map
Macau,fifa,AFC,1976-01-01,,FIFA member; absent from confederation_adj map
Madagascar,fifa,CAF,,,FIFA member via confederation_adj map
Madrid,unclassified,,,,not yet reviewed — dormant unless listed as active
Malawi,fifa,CAF,,,FIFA member via confederation_adj map
Malaysia,fifa,AFC,,,FIFA member via confederation_adj map
Maldives,fifa,AFC,,,FIFA member via confederation_adj map
Mali,fifa,CAF,,,FIFA member via confederation_adj map
Malta,fifa,UEFA,,,FIFA member via confederation_adj map
Manchukuo,unclassified,,,,not yet reviewed — dormant unless listed as active
Mapuche,unclassified,,,,not yet reviewed — dormant unless listed as active
Marshall Islands,non_fifa,,,,not a FIFA member
Martinique,non_fifa,CONCACAF,,,"CONCACAF associate, not a FIFA member"
Matabeleland,unclassified,,,,not yet reviewed — dormant unless listed as active
Maule Sur,unclassified,,,,not yet reviewed — dormant unless listed as active
Mauritania,fifa,CAF,,,FIFA member via confederation_adj map
Mauritius,fifa,CAF,,,FIFA member via confederation_adj map
Mayotte,non_fifa,,,,"French department, not a FIFA member"
Menorca,non_fifa,,,,sub-national side
Mexico,fifa,CONCACAF,,,FIFA member via confederation_adj map
Micronesia,non_fifa,,,,not a FIFA member
Moldova,fifa,UEFA,1994-01-01,,FIFA member via confederation_adj map
Monaco,unclassified,,,,not yet reviewed — dormant unless listed as active
Mongolia,fifa,AFC,,,FIFA member via confederation_adj map
Montenegro,fifa,UEFA,2007-05-31,,FIFA member via confederation_adj map
Montserrat,fifa,CONCACAF,1996-07-01,,FIFA member; absent from confederation_adj map
Morocco,fifa,CAF,,,FIFA member via confederation_adj map
Mozambique,fifa,CAF,,,FIFA member via confederation_adj map
Myanmar,fifa,AFC,,,FIFA member via confederation_adj map
Namibia,fifa,CAF,1992-07-08,,FIFA member via confederation_adj map
Nepal,fifa,AFC,,,FIFA member via confederation_adj map
Netherlands,fifa,UEFA,,,FIFA member via confederation_adj map
New Caledonia,fifa,OFC,,,FIFA member via confederation_adj map
New Zealand,fifa,OFC,,,FIFA member via confederation_adj map
Nicaragua,fifa,CONCACAF,,,FIFA member via confederation_adj map
Niger,fifa,CAF,,,FIFA member via confederation_adj map
Nigeria,fifa,CAF,,,FIFA member via confederation_adj map
Niue,non_fifa,,,,not a FIFA member
North Korea,fifa,AFC,,,FIFA member via confederation_adj map
North Macedonia,fifa,UEFA,1994-06-01,,FIFA member via confederation_adj map
North Vietnam,unclassified,,,,not yet reviewed — dormant unless listed as active
Northern Cyprus,non_fifa,,,,not a FIFA member
Northern Ireland,fifa,UEFA,,,FIFA member via confederation_adj map
Northern Mariana Islands,non_fifa,AFC,,,"AFC member, not a FIFA member"
Norway,fifa,UEFA,,,FIFA member via confederation_adj map
Occitania,unclassified,,,,not yet reviewed — dormant unless listed as active
Oman,fifa,AFC,,,FIFA member via confederation_adj map
Orkney,non_fifa,,,,sub-national side
Padania,non_fifa,,,,stateless / non-FIFA representative side
Pakistan,fifa,AFC,,,FIFA member via confederation_adj map
Palau,unclassified,,,,not yet reviewed — dormant unless listed as active
Palestine,fifa,AFC,1998-06-08,,FIFA member via confederation_adj map
Panama,fifa,CONCACAF,,,FIFA member via confederation_adj map
Panjab,unclassified,,,,not yet reviewed — dormant unless listed as active
Papua New Guinea,fifa,OFC,,,FIFA member via confederation_adj map
Paraguay,fifa,CONMEBOL,,,FIFA member via confederation_adj map
Parishes of Jersey,unclassified,,,,not yet reviewed — dormant unless listed as active
Peru,fifa,CONMEBOL,,,FIFA member via confederation_adj map
Philippines,fifa,AFC,,,FIFA member via confederation_adj map
Poland,fifa,UEFA,,,FIFA member via confederation_adj map
Portugal,fifa,UEFA,,,FIFA member via confederation_adj map
Provence,unclassified,,,,not yet reviewed — dormant unless listed as active
Puerto Rico,fifa,CONCACAF,,,FIFA member; absent from confederation_adj map
Qatar,fifa,AFC,,,FIFA member via confederation_adj map
Quebec,unclassified,,,,not yet reviewed — dormant unless listed as active
Raetia,non_fifa,,,,sub-national side
Republic of Ireland,fifa,UEFA,,,FIFA member via confederation_adj map
Republic of St. Pauli,unclassified,,,,not yet reviewed — dormant unless listed as active
Rhodes,unclassified,,,,not yet reviewed — dormant unless listed as active
Romani people,unclassified,,,,not yet reviewed — dormant unless listed as active
Romania,fifa,UEFA,,,FIFA member via confederation_adj map
Rouet-Provence,non_fifa,,,,sub-national side
Russia,fifa,UEFA,1992-01-01,,FIFA member via confederation_adj map
Rwanda,fifa,CAF,,,FIFA member via confederation_adj map
Ryūkyū,unclassified,,,,not yet reviewed — dormant unless listed as active
Réunion,non_fifa,CAF,,,"CAF associate, not a FIFA member"
Saare County,unclassified,,,,not yet reviewed — dormant unless listed as active
Saarland,unclassified,,,,not yet reviewed — dormant unless listed as active
Saint Barthélemy,non_fifa,CONCACAF,,,not a FIFA member
Saint Helena,non_fifa,,,,not a FIFA member
Saint Kitts and Nevis,fifa,CONCACAF,,,FIFA member; absent from confederation_adj map
Saint Lucia,fifa,CONCACAF,,,FIFA member; absent from confederation_adj map
Saint Martin,non_fifa,CONCACAF,,,"CONCACAF associate, not a FIFA member"
Saint Pierre and Miquelon,unclassified,,,,not yet reviewed — dormant unless listed as active
Saint Vincent and the Grenadines,fifa,CONCACAF,,,FIFA member; absent from confederation_adj map
Samoa,fifa,OFC,1986-01-01,,FIFA member via confederation_adj map
San Marino,fifa,UEFA,,,FIFA member via confederation_adj map
Sark,unclassified,,,,not yet reviewed — dormant unless listed as active
Saudi Arabia,fifa,AFC,,,FIFA member via confederation_adj map
Saugeais,unclassified,,,,not yet reviewed — dormant unless listed as active
Scotland,fifa,UEFA,,,FIFA member via confederation_adj map
Sealand,unclassified,,,,not yet reviewed — dormant unless listed as active
Seborga,unclassified,,,,not yet reviewed — dormant unless listed as active
Senegal,fifa,CAF,,,FIFA member via confederation_adj map
Serbia,fifa,UEFA,2006-06-01,,FIFA member via confederation_adj map
Seychelles,fifa,CAF,,,FIFA member via confederation_adj map
Shetland,non_fifa,,,,sub-national side
Sierra Leone,fifa,CAF,,,FIFA member via confederation_adj map
Silesia,unclassified,,,,not yet reviewed — dormant unless listed as active
Singapore,fifa,AFC,,,FIFA member via confederation_adj map
Sint Maarten,non_fifa,CONCACAF,,,"CONCACAF associate, not a FIFA member"
Slovakia,fifa,UEFA,1994-01-01,,FIFA member via confederation_adj map
Slovenia,fifa,UEFA,1992-07-03,,FIFA member via confederation_adj map
Solomon Islands,fifa,OFC,,,FIFA member via confederation_adj map
Somalia,fifa,CAF,,,FIFA member via confederation_adj map
Somaliland,unclassified,,,,not yet reviewed — dormant unless listed as active
South Africa,fifa,CAF,1992-07-03,,FIFA member via confederation_adj map
South Korea,fifa,AFC,,,FIFA member via confederation_adj map
South Ossetia,unclassified,,,,not yet reviewed — dormant unless listed as active
South Sudan,fifa,CAF,2012-05-25,,FIFA member via confederation_adj map
South Yemen,unclassified,,,,not yet reviewed — dormant unless listed as active
Spain,fifa,UEFA,,,FIFA member via confederation_adj map
Sri Lanka,fifa,AFC,,,FIFA member via confederation_adj map
Sudan,fifa,CAF,,,FIFA member via confederation_adj map
Suriname,fifa,CONCACAF,,,FIFA member via confederation_adj map
Surrey,unclassified,,,,not yet reviewed — dormant unless listed as active
Sweden,fifa,UEFA,,,FIFA member via confederation_adj map
Switzerland,fifa,UEFA,,,FIFA member via confederation_adj map
Syria,fifa,AFC,,,FIFA member via confederation_adj map
Székely Land,non_fifa,,,,stateless / non-FIFA representative side
Sápmi,non_fifa,,,,stateless / non-FIFA representative side
São Tomé and Príncipe,fifa,CAF,1986-01-01,,FIFA member via confederation_adj map
Tahiti,fifa,OFC,,,FIFA member via confederation_adj map
Taiwan,fifa,AFC,,,FIFA member; absent from confederation_adj map
Tajikistan,fifa,AFC,1994-01-01,,FIFA member via confederation_adj map
Tamil Eelam,non_fifa,,,,stateless / non-FIFA representative side
Tanzania,fifa,CAF,,,FIFA member via confederation_adj map
Thailand,fifa,AFC,,,FIFA member via confederation_adj map
Tibet,non_fifa,,,,stateless / non-FIFA representative side
Ticino,non_fifa,,,,sub-national side
Timor-Leste,fifa,AFC,2005-09-12,,FIFA member; absent from confederation_adj map
Togo,fifa,CAF,,,FIFA member via confederation_adj map
Tonga,fifa,OFC,1994-01-01,,FIFA member via confederation_adj map
Trinidad and Tobago,fifa,CONCACAF,,,FIFA member via confederation_adj map
Tunisia,fifa,CAF,,,FIFA member via confederation_adj map
Turkey,fifa,UEFA,,,FIFA member via confederation_adj map
Turkmenistan,fifa,AFC,1994-01-01,,FIFA member via confederation_adj map
Turks and Caicos Islands,fifa,CONCACAF,1998-06-01,,FIFA member; absent from confederation_adj map
Tuvalu,non_fifa,OFC,,,"OFC associate, not a FIFA member"
Two Sicilies,non_fifa,,,,stateless / non-FIFA representative side
Uganda,fifa,CAF,,,FIFA member via confederation_adj map
Ukraine,fifa,UEFA,1992-01-01,,FIFA member via confederation_adj map
United Arab Emirates,fifa,AFC,,,FIFA member via confederation_adj map
United Koreans in Japan,unclassified,,,,not yet reviewed — dormant unless listed as active
United States,fifa,CONCACAF,,,FIFA member via confederation_adj map
United States Virgin Islands,fifa,CONCACAF,,,FIFA member; absent from confederation_adj map
Uruguay,fifa,CONMEBOL,,,FIFA member via confederation_adj map
Uzbekistan,fifa,AFC,1994-01-01,,FIFA member via confederation_adj map
Vanuatu,fifa,OFC,1988-01-01,,FIFA member via confederation_adj map
Vatican City,unclassified,,,,not yet reviewed — dormant unless listed as active
Venezuela,fifa,CONMEBOL,,,FIFA member via confederation_adj map
Vietnam,fifa,AFC,,,FIFA member via confederation_adj map
Vietnam Republic,unclassified,,,,not yet reviewed — dormant unless listed as active
Wales,fifa,UEFA,,,FIFA member via confederation_adj map
Wallis Islands and Futuna,unclassified,,,,not yet reviewed — dormant unless listed as active
West Papua,non_fifa,,,,stateless / non-FIFA representative side
Western Armenia,unclassified,,,,not yet reviewed — dormant unless listed as active
Western Australia,unclassified,,,,not yet reviewed — dormant unless listed as active
Western Isles,non_fifa,,,,sub-national side
Western Sahara,unclassified,,,,not yet reviewed — dormant unless listed as active
Yemen,fifa,AFC,,,FIFA member via confederation_adj map
Yemen DPR,unclassified,,,,not yet reviewed — dormant unless listed as active
Ynys Môn,non_fifa,,,,sub-national side
Yorkshire,unclassified,,,,not yet reviewed — dormant unless listed as active
Yoruba Nation,unclassified,,,,not yet reviewed — dormant unless listed as active
Yugoslavia,fifa,UEFA,,1992-12-31,"former FIFA member, membership ended"
Zambia,fifa,CAF,,,FIFA member via confederation_adj map
Zanzibar,non_fifa,CAF,,,"CAF associate, not a FIFA member"
Zimbabwe,fifa,CAF,,,FIFA member via confederation_adj map
Åland Islands,non_fifa,,,,sub-national side
