city,country,latitude,longitude,elevation_m,timezone,resolved_country,source,resolved_at
Edmonton,Canada,53.55014,-113.46871,668.0,America/Edmonton,Canada,open-meteo,2026-08-08T18:54:40+00:00
Montreal,Canada,45.50884,-73.58781,216.0,America/Toronto,Canada,open-meteo,2026-08-08T18:54:40+00:00
Hamilton,Canada,43.25011,-79.84963,95.0,America/Toronto,Canada,open-meteo,2026-08-08T18:54:41+00:00
Tenero-Contra,Switzerland,,,,,,open-meteo,2026-08-08T18:54:42+00:00
Praia,Cape Verde,14.93152,-23.51254,,Atlantic/Cape_Verde,Cabo Verde,open-meteo,2026-08-08T18:54:42+00:00
Mindelo,Cape Verde,16.89014,-24.98042,44.0,Atlantic/Cape_Verde,Cabo Verde,open-meteo,2026-08-08T18:54:43+00:00
Fos-sur-Mer,Cape Verde,,,,,,open-meteo,2026-08-08T18:54:43+00:00
Kent,United States,47.38093,-122.23484,13.0,America/Los_Angeles,United States,open-meteo,2026-08-08T18:54:44+00:00
Girona,Spain,41.98311,2.82493,81.0,Europe/Madrid,Spain,open-meteo,2026-08-08T18:54:44+00:00
George Town,Cayman Islands,,,,,,open-meteo,2026-08-08T18:54:45+00:00
West Bay,Cayman Islands,,,,,,open-meteo,2026-08-08T18:54:45+00:00
Bangui,Central African Republic,4.36122,18.55496,351.0,Africa/Bangui,Central African Republic,open-meteo,2026-08-08T18:54:46+00:00
N'Djamena,Chad,12.10672,15.0444,299.0,Africa/Ndjamena,Chad,open-meteo,2026-08-08T18:54:46+00:00
Santiago,Chile,-33.45694,-70.64827,556.0,America/Santiago,Chile,open-meteo,2026-08-08T18:54:47+00:00
Rancagua,Chile,-34.1691,-70.74053,520.0,America/Santiago,Chile,open-meteo,2026-08-08T18:54:47+00:00
Calama,Chile,-22.45667,-68.92371,2275.0,America/Santiago,Chile,open-meteo,2026-08-08T18:54:48+00:00
Concepción,Chile,-36.82699,-73.04977,36.0,America/Santiago,Chile,open-meteo,2026-08-08T18:54:49+00:00
Coquimbo,Chile,-29.95332,-71.33947,22.0,America/Santiago,Chile,open-meteo,2026-08-08T18:54:49+00:00
Temuco,Chile,-38.73628,-72.59738,104.0,America/Santiago,Chile,open-meteo,2026-08-08T18:54:50+00:00
Viña del Mar,Chile,-33.02457,-71.55183,17.0,America/Santiago,Chile,open-meteo,2026-08-08T18:54:50+00:00
Dalian,China,38.91222,121.60222,33.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:54:57+00:00
Guangzhou,China,23.11667,113.25,15.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:54:57+00:00
Nanning,China,22.81667,108.31667,91.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:54:58+00:00
Suzhou,China,33.63611,116.97889,34.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:54:58+00:00
Chengdu,China,30.66667,104.06667,499.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:54:59+00:00
Chongqing,China,29.56026,106.55771,289.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:55:00+00:00
Hangzhou,China,30.29365,120.16142,12.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:55:00+00:00
Nanjing,China,32.06167,118.77778,22.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:55:01+00:00
Shenyang,China,41.79222,123.43278,53.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:55:01+00:00
Wuhan,China,30.58333,114.26667,20.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:55:02+00:00
Changsha,China,28.19874,112.97087,67.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:55:02+00:00
Kunming,China,25.03889,102.71833,1895.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:55:03+00:00
Qingdao,China,36.06488,120.38042,16.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:55:03+00:00
Shenzhen,China,22.54554,114.0683,4.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:55:04+00:00
Tianjin,China,39.14222,117.17667,11.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:55:04+00:00
Xi'an,China,34.25833,108.92861,416.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:55:05+00:00
Xiamen,China,24.47979,118.08187,12.0,Asia/Shanghai,China,open-meteo,2026-08-08T18:55:05+00:00
Barranquilla,Colombia,10.96854,-74.78132,24.0,America/Bogota,Colombia,open-meteo,2026-08-08T18:55:06+00:00
Bogotá,Colombia,4.60971,-74.08175,2582.0,America/Bogota,Colombia,open-meteo,2026-08-08T18:55:07+00:00
Moroni,Comoros,-11.70216,43.25506,27.0,Indian/Comoro,Comoros,open-meteo,2026-08-08T18:55:07+00:00
Mitsamiouli,Comoros,-11.38472,43.28444,48.0,Indian/Comoro,Comoros,open-meteo,2026-08-08T18:55:08+00:00
Iconi,Comoros,,,,,,open-meteo,2026-08-08T18:55:08+00:00
Brazzaville,Congo,,,,,,open-meteo,2026-08-08T18:55:09+00:00
Ajaccio,France,41.91886,8.73812,,Europe/Paris,France,open-meteo,2026-08-08T18:55:09+00:00
San José,Costa Rica,9.93388,-84.08489,1133.0,America/Costa_Rica,Costa Rica,open-meteo,2026-08-08T18:55:10+00:00
Zagreb,Croatia,45.81444,15.97798,135.0,Europe/Zagreb,Croatia,open-meteo,2026-08-08T18:55:10+00:00
Rijeka,Croatia,45.32673,14.44241,12.0,Europe/Zagreb,Croatia,open-meteo,2026-08-08T18:55:11+00:00
Split,Croatia,43.50891,16.43915,12.0,Europe/Zagreb,Croatia,open-meteo,2026-08-08T18:55:11+00:00
Osijek,Croatia,45.55066,18.6942,87.0,Europe/Zagreb,Croatia,open-meteo,2026-08-08T18:55:12+00:00
Varaždin,Croatia,46.30444,16.33778,173.0,Europe/Zagreb,Croatia,open-meteo,2026-08-08T18:55:13+00:00
Pula,Croatia,44.86833,13.84806,11.0,Europe/Zagreb,Croatia,open-meteo,2026-08-08T18:55:13+00:00
Velika Gorica,Croatia,45.7125,16.07556,107.0,Europe/Zagreb,Croatia,open-meteo,2026-08-08T18:55:14+00:00
Santiago de Cuba,Cuba,20.02287,-75.82171,33.0,America/Havana,Cuba,open-meteo,2026-08-08T18:55:14+00:00
Havana,Cuba,23.13302,-82.38304,41.0,America/Havana,Cuba,open-meteo,2026-08-08T18:55:15+00:00
Nicosia,Cyprus,35.17284,33.35397,155.0,Asia/Nicosia,Cyprus,open-meteo,2026-08-08T18:55:16+00:00
Larnaca,Cyprus,34.9221,33.62794,24.0,Asia/Nicosia,Cyprus,open-meteo,2026-08-08T18:55:16+00:00
Limassol,Cyprus,34.68406,33.03794,27.0,Asia/Nicosia,Cyprus,open-meteo,2026-08-08T18:55:17+00:00
Prague,Czech Republic,50.08804,14.42076,202.0,Europe/Prague,Czechia,open-meteo,2026-08-08T18:55:17+00:00
Olomouc,Czech Republic,49.59552,17.25175,223.0,Europe/Prague,Czechia,open-meteo,2026-08-08T18:55:18+00:00
Plzeň,Czech Republic,49.67517,13.27462,354.0,Europe/Prague,Czechia,open-meteo,2026-08-08T18:55:18+00:00
Hradec Králové,Czech Republic,50.20923,15.83277,250.0,Europe/Prague,Czechia,open-meteo,2026-08-08T18:55:19+00:00
Mladá Boleslav,Czech Republic,50.41135,14.90318,241.0,Europe/Prague,Czechia,open-meteo,2026-08-08T18:55:20+00:00
Ostrava,Czech Republic,49.83465,18.28204,211.0,Europe/Prague,Czechia,open-meteo,2026-08-08T18:55:20+00:00
Karviná,Czech Republic,49.854,18.54169,221.0,Europe/Prague,Czechia,open-meteo,2026-08-08T18:55:21+00:00
Uherské Hradiště,Czech Republic,49.06975,17.45969,179.0,Europe/Prague,Czechia,open-meteo,2026-08-08T18:55:21+00:00
Ústí nad Labem,Czech Republic,50.6607,14.03227,150.0,Europe/Prague,Czechia,open-meteo,2026-08-08T18:55:22+00:00
Kinshasa,DR Congo,,,,,,open-meteo,2026-08-08T18:55:22+00:00
Lubumbashi,DR Congo,,,,,,open-meteo,2026-08-08T18:55:23+00:00
Copenhagen,Denmark,55.67594,12.56553,14.0,Europe/Copenhagen,Denmark,open-meteo,2026-08-08T18:55:23+00:00
Brondbyvester,Denmark,,,,,,open-meteo,2026-08-08T18:55:24+00:00
Brøndby,Denmark,55.6455,12.41008,11.0,Europe/Copenhagen,Denmark,open-meteo,2026-08-08T18:55:25+00:00
Herning,Denmark,56.13615,8.97662,60.0,Europe/Copenhagen,Denmark,open-meteo,2026-08-08T18:55:25+00:00
Aalborg,Denmark,57.048,9.9187,10.0,Europe/Copenhagen,Denmark,open-meteo,2026-08-08T18:55:26+00:00
Aarhus,Denmark,56.15674,10.21076,10.0,Europe/Copenhagen,Denmark,open-meteo,2026-08-08T18:55:26+00:00
Odense,Denmark,55.39594,10.38831,17.0,Europe/Copenhagen,Denmark,open-meteo,2026-08-08T18:55:27+00:00
Horsens,Denmark,55.86066,9.85034,4.0,Europe/Copenhagen,Denmark,open-meteo,2026-08-08T18:55:27+00:00
Djibouti,Djibouti,11.58901,43.14503,6.0,Africa/Djibouti,Djibouti,open-meteo,2026-08-08T18:55:28+00:00
Roseau,Dominica,15.30174,-61.38808,11.0,America/Dominica,Dominica,open-meteo,2026-08-08T18:55:28+00:00
Santiago de los Caballeros,Dominican Republic,19.45036,-70.69085,209.0,America/Santo_Domingo,Dominican Republic,open-meteo,2026-08-08T18:55:29+00:00
Santo Domingo,Dominican Republic,18.47186,-69.89232,24.0,America/Santo_Domingo,Dominican Republic,open-meteo,2026-08-08T18:55:29+00:00
San Cristóbal,Dominican Republic,18.41713,-70.10682,45.0,America/Santo_Domingo,Dominican Republic,open-meteo,2026-08-08T18:55:30+00:00
Donetsk,Ukraine,48.023,37.80224,223.0,Europe/Kyiv,Ukraine,open-meteo,2026-08-08T18:55:30+00:00
Quito,Ecuador,-0.22985,-78.52495,2854.0,America/Guayaquil,Ecuador,open-meteo,2026-08-08T18:55:31+00:00
Guayaquil,Ecuador,-2.19616,-79.88621,14.0,America/Guayaquil,Ecuador,open-meteo,2026-08-08T18:55:32+00:00
Cuenca,Ecuador,-2.8953,-78.9963,2484.0,America/Guayaquil,Ecuador,open-meteo,2026-08-08T18:55:32+00:00
Portoviejo,Ecuador,-1.05764,-80.45145,90.0,America/Guayaquil,Ecuador,open-meteo,2026-08-08T18:55:33+00:00
Cairo,Egypt,30.06263,31.24967,23.0,Africa/Cairo,Egypt,open-meteo,2026-08-08T18:55:33+00:00
Alexandria,Egypt,31.20176,29.91582,9.0,Africa/Cairo,Egypt,open-meteo,2026-08-08T18:55:34+00:00
New Cairo,Egypt,30.03,31.47,271.0,Africa/Cairo,Egypt,open-meteo,2026-08-08T18:55:34+00:00
San Salvador,El Salvador,13.68935,-89.18718,653.0,America/El_Salvador,El Salvador,open-meteo,2026-08-08T18:55:35+00:00
Capoliveri,Italy,42.74569,10.37753,167.0,Europe/Rome,Italy,open-meteo,2026-08-08T18:55:35+00:00
Malabo,Equatorial Guinea,3.75578,8.78166,34.0,Africa/Malabo,Equatorial Guinea,open-meteo,2026-08-08T18:55:38+00:00
Bata,Equatorial Guinea,1.86391,9.76582,13.0,Africa/Malabo,Equatorial Guinea,open-meteo,2026-08-08T18:55:39+00:00
Asmara,Eritrea,15.33805,38.93184,2334.0,Africa/Asmara,Eritrea,open-meteo,2026-08-08T18:55:39+00:00
Tallinn,Estonia,59.43696,24.75353,12.0,Europe/Tallinn,Estonia,open-meteo,2026-08-08T18:55:40+00:00
Pärnu,Estonia,58.38588,24.49711,6.0,Europe/Tallinn,Estonia,open-meteo,2026-08-08T18:55:40+00:00
Rakvere,Estonia,59.34808,26.35784,83.0,Europe/Tallinn,Estonia,open-meteo,2026-08-08T18:55:41+00:00
Manzini,Eswatini,-26.49884,31.38004,601.0,Africa/Mbabane,Eswatini,open-meteo,2026-08-08T18:55:41+00:00
Lobamba,Eswatini,-26.46667,31.2,694.0,Africa/Mbabane,Eswatini,open-meteo,2026-08-08T18:55:42+00:00
Addis Ababa,Ethiopia,9.02497,38.74689,2405.0,Africa/Addis_Ababa,Ethiopia,open-meteo,2026-08-08T18:55:42+00:00
Bahir Dar,Ethiopia,11.59364,37.39077,1799.0,Africa/Addis_Ababa,Ethiopia,open-meteo,2026-08-08T18:55:43+00:00
Adama,Ethiopia,10.70587,39.55201,2732.0,Africa/Addis_Ababa,Ethiopia,open-meteo,2026-08-08T18:55:43+00:00
Hawassa,Ethiopia,7.06205,38.47635,1697.0,Africa/Addis_Ababa,Ethiopia,open-meteo,2026-08-08T18:55:44+00:00
Dire Dawa,Ethiopia,9.59306,41.86611,1204.0,Africa/Addis_Ababa,Ethiopia,open-meteo,2026-08-08T18:55:44+00:00
Tórshavn,Faroe Islands,,,,,,open-meteo,2026-08-08T18:55:45+00:00
Toftir,Faroe Islands,,,,,,open-meteo,2026-08-08T18:55:46+00:00
Suva,Fiji,-18.13683,178.42531,,Pacific/Fiji,Fiji,open-meteo,2026-08-08T18:55:46+00:00
